year,scenario,scenario_label,company,reachable_pop,effective_covered_pop,trip_intensity_per_capita,annual_ride_miles_demand,fleet_demand,fleet_supply_cap,fleet_operating,gross_passenger_revenue,net_platform_revenue,revenue_miles_per_vehicle_day,readiness_friction
2026,base,Base case — gradual scaling,waymo,22000000.0,12100000.000000002,29.700000000000003,1437480000.0000005,18106.447471653908,42428.57142857143,18106.447471653908,2731212000.0000014,955924200.0000005,217.50823158593224,0.3775406687981454
2026,base,Base case — gradual scaling,tesla,28749999.999999996,22424999.999999996,29.700000000000003,2664090000.0,41620.82096414356,101651.7857142857,41620.82096414356,2930499000.0,820539720.0000001,175.36599575046264,0.8581489350995123
2027,base,Base case — gradual scaling,waymo,70400000.0,38720000.0,32.07600000000001,4967930880.000001,62575.882462035894,271542.85714285716,62575.882462035894,9439068672.000002,3303674035.2000003,217.50823158593224,0.3775406687981454
2027,base,Base case — gradual scaling,tesla,92000000.0,71760000.0,32.07600000000001,9207095040.000002,143841.55725208018,650571.4285714286,143841.55725208018,10127804544.000004,2835785272.320001,175.36599575046264,0.8581489350995123
2028,base,Base case — gradual scaling,waymo,158400000.0,87120000.0,34.452,12005832960.0,151225.04928325338,916457.142857143,151225.04928325338,22811082624.0,7983878918.4,217.50823158593224,0.3775406687981454
2028,base,Base case — gradual scaling,tesla,206999999.99999997,161459999.99999997,34.452,22250479679.999996,347617.096692527,2195678.5714285714,347617.096692527,24475527647.999996,6853147741.44,175.36599575046264,0.8581489350995123
2029,base,Base case — gradual scaling,waymo,202400000.0,111320000.00000001,36.828,16398771840.000004,206558.35275662775,1561371.4285714284,206558.35275662775,31157666496.000008,10905183273.600002,217.50823158593224,0.3775406687981454
2029,base,Base case — gradual scaling,tesla,264499999.99999997,206309999.99999997,36.828,30391938719.999996,474810.3255589497,3740785.7142857136,474810.3255589497,33431132592.0,9360717125.76,175.36599575046264,0.8581489350995123
2030,base,Base case — gradual scaling,waymo,246400000.0,135520000.0,39.204,21251704320.0,267685.7194209313,2376000.0,267685.7194209313,40378238208.00001,14132383372.800001,217.50823158593224,0.3775406687981454
2030,base,Base case — gradual scaling,tesla,322000000.0,251160000.0,39.204,39385906560.0,615322.2171338984,4950000.0,615322.2171338984,43324497216.0,12130859220.480001,175.36599575046264,0.8581489350995123
2031,base,Base case — gradual scaling,waymo,259600000.0,142780000.0,41.580000000000005,23747169600.000004,299118.5122317225,3003942.8571428573,299118.5122317225,45119622240.00001,15791867784.000002,217.50823158593224,0.3775406687981454
2031,base,Base case — gradual scaling,tesla,339250000.0,264615000.0,41.580000000000005,44010766800.00001,687575.9623276518,5940000.0,687575.9623276518,48411843480.000015,13555316174.400005,175.36599575046264,0.8581489350995123
2032,base,Base case — gradual scaling,waymo,268400000.0,147620000.0,43.956,25955138880.0,326930.0155481828,3623399.9999999995,326930.0155481828,49314763872.0,17260167355.2,217.50823158593224,0.3775406687981454
2032,base,Base case — gradual scaling,tesla,350750000.0,273585000.0,43.956,48102809040.0,751505.5433285761,6930000.0,751505.5433285761,52913089943.99999,14815665184.32,175.36599575046264,0.8581489350995123
2033,base,Base case — gradual scaling,waymo,274560000.0,151008000.0,46.332,27986010624.0,352510.80453613546,4236068.571428571,352510.80453613546,53173420185.600006,18610697064.96,217.50823158593224,0.3775406687981454
2033,base,Base case — gradual scaling,tesla,358800000.0,279864000.0,46.332,51866635392.0,810307.4391867182,7920000.0,810307.4391867182,57053298931.200005,15974923700.736002,175.36599575046264,0.8581489350995123
2034,base,Base case — gradual scaling,waymo,279840000.0,153912000.0,48.708,29986982784.0,377714.97941667767,4857222.857142858,377714.97941667767,56975267289.6,19941343551.359997,217.50823158593224,0.3775406687981454
2034,base,Base case — gradual scaling,tesla,365700000.0,285246000.0,48.708,55575048672.0,868243.621968806,8910000.0,868243.621968806,61132553539.200005,17117114990.976004,175.36599575046264,0.8581489350995123
2035,base,Base case — gradual scaling,waymo,283360000.0,155848000.0,51.08400000000001,31845356928.000008,401122.99470803194,5400000.0,401122.99470803194,60506178163.20001,21177162357.120003,217.50823158593224,0.3775406687981454
2035,base,Base case — gradual scaling,tesla,370300000.0,288834000.0,51.08400000000001,59019184224.000015,922051.0193112511,9900000.0,922051.0193112511,64921102646.400024,18177908740.99201,175.36599575046264,0.8581489350995123
2026,hypergrowth,Hypergrowth — trust + economics win quickly,waymo,27500000.000000004,15125000.000000004,54.94500000000001,3324172500.0000014,41871.15977819966,53035.71428571429,41871.15977819966,6315927750.000003,2210574712.500001,217.50823158593224,0.3775406687981454
2026,hypergrowth,Hypergrowth — trust + economics win quickly,tesla,35937500.0,28031250.0,54.94500000000001,6160708125.000001,96248.148479582,127064.73214285713,96248.148479582,6776778937.500001,1897498102.5000005,175.36599575046264,0.8581489350995123
2027,hypergrowth,Hypergrowth — trust + economics win quickly,waymo,88000000.0,48400000.00000001,59.340600000000016,11488340160.000006,144706.72819345805,339428.5714285714,144706.72819345805,21827846304.00001,7639746206.400003,217.50823158593224,0.3775406687981454
2027,hypergrowth,Hypergrowth — trust + economics win quickly,tesla,115000000.0,89700000.0,59.340600000000016,21291407280.000008,332633.6011454355,813214.2857142857,332633.6011454355,23420548008.00001,6557753442.240004,175.36599575046264,0.8581489350995123
2028,hypergrowth,Hypergrowth — trust + economics win quickly,waymo,198000000.00000003,108900000.00000003,63.7362,27763488720.000008,349707.92646752356,1145571.4285714286,349707.92646752356,52750628568.000015,18462719998.800003,217.50823158593224,0.3775406687981454
2028,hypergrowth,Hypergrowth — trust + economics win quickly,tesla,258750000.0,201825000.0,63.7362,51454234260.0,803864.5361014688,2744598.2142857146,803864.5361014688,56599657686.00001,15847904152.080004,175.36599575046264,0.8581489350995123
2029,hypergrowth,Hypergrowth — trust + economics win quickly,waymo,253000000.00000003,139150000.00000003,68.13180000000001,37922159880.000015,477666.19074970175,1951714.285714286,477666.19074970175,72052103772.00003,25218236320.20001,217.50823158593224,0.3775406687981454
2029,hypergrowth,Hypergrowth — trust + economics win quickly,tesla,330625000.0,257887500.0,68.13180000000001,70281358290.00002,1097998.8778550716,3960000.0,1097998.8778550716,77309494119.00003,21646658353.32001,175.36599575046264,0.8581489350995123
2030,hypergrowth,Hypergrowth — trust + economics win quickly,waymo,308000000.0,169400000.0,72.5274,49144566240.0,619023.2261609036,2700000.0,619023.2261609036,93374675856.0,32681136549.6,217.50823158593224,0.3775406687981454
2030,hypergrowth,Hypergrowth — trust + economics win quickly,tesla,402500000.0,313950000.0,72.5274,91079908920.0,1422932.6271221403,4950000.0,1422932.6271221403,100187899812.00002,28052611947.36001,175.36599575046264,0.8581489350995123
2031,hypergrowth,Hypergrowth — trust + economics win quickly,waymo,324500000.0,178475000.0,76.92300000000002,54915329700.00001,691711.5595358582,3240000.0,691711.5595358582,104339126430.00002,36518694250.5,217.50823158593224,0.3775406687981454
2031,hypergrowth,Hypergrowth — trust + economics win quickly,tesla,424062500.0,330768750.0,76.92300000000002,101774898225.00002,1590019.4128826947,5940000.0,1590019.4128826947,111952388047.50003,31346668653.30001,175.36599575046264,0.8581489350995123
2032,hypergrowth,Hypergrowth — trust + economics win quickly,waymo,335500000.0,184525000.0,81.3186,60021258660.0,756025.6609551728,3780000.0,756025.6609551728,114040391454.00002,39914137008.9,217.50823158593224,0.3775406687981454
2032,hypergrowth,Hypergrowth — trust + economics win quickly,tesla,438437500.0,341981250.0,81.3186,111237745905.0,1737856.5689473324,6930000.0,1737856.5689473324,122361520495.50002,34261225738.74001,175.36599575046264,0.8581489350995123
2033,hypergrowth,Hypergrowth — trust + economics win quickly,waymo,343200000.0,188760000.00000003,85.7142,64717649568.000015,815181.2354898135,4320000.0,815181.2354898135,122963534179.20004,43037236962.72001,217.50823158593224,0.3775406687981454
2033,hypergrowth,Hypergrowth — trust + economics win quickly,tesla,448500000.0,349830000.0,85.7142,119941594344.0,1873835.9531192859,7920000.0,1873835.9531192859,131935753778.40001,36942011057.952,175.36599575046264,0.8581489350995123
2034,hypergrowth,Hypergrowth — trust + economics win quickly,waymo,349800000.0,192390000.00000003,90.1098,69344897688.00002,873465.8899010674,4860000.0,873465.8899010674,131755305607.20006,46114356962.52002,217.50823158593224,0.3775406687981454
2034,hypergrowth,Hypergrowth — trust + economics win quickly,tesla,457125000.0,356557500.0,90.1098,128517300054.00002,2007813.3758028643,8910000.0,2007813.3758028643,141369030059.40002,39583328416.63201,175.36599575046264,0.8581489350995123
2035,hypergrowth,Hypergrowth — trust + economics win quickly,waymo,354200000.0,194810000.00000003,94.50540000000002,73642387896.00003,927596.925262324,5400000.0,927596.925262324,139920537002.40005,48972187950.84002,217.50823158593224,0.3775406687981454
2035,hypergrowth,Hypergrowth — trust + economics win quickly,tesla,462875000.0,361042500.0,94.50540000000002,136481863518.00003,2132242.982157268,9900000.0,2132242.982157268,150130049869.80002,42036413963.54401,175.36599575046264,0.8581489350995123
2026,platform_dominance,Platform dominance — winner-take-most dynamics,waymo,25300000.0,13915000.000000002,74.25,4132755000.0000005,52056.03648100497,51232.5,51232.5,7728010644.222671,2704803725.4779344,217.50823158593224,0.3775406687981454
2026,platform_dominance,Platform dominance — winner-take-most dynamics,tesla,33062499.999999996,25788749.999999996,74.25,7659258749.999999,119659.86027191274,122744.53124999999,119659.86027191274,8425184624.999999,2359051695.0,175.36599575046264,0.8581489350995123
2027,platform_dominance,Platform dominance — winner-take-most dynamics,waymo,80960000.0,44528000.0,80.19,14282801280.0,179905.66207835317,327888.0,179905.66207835317,27137322432.000004,9498062851.2,217.50823158593224,0.3775406687981454
